0.2082
0.3200
0.0499
state,currentTime,x,y,liftoff,acc,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,prev_errorX,prev_errorY,flightTime,dt,x_origin,y_origin, pressure
Ground, 28882941.00,0.0000,-0.6875,0.0000,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0253,0.0000,0.0000,98581.4632
Ground, 28921972.00,0.0000,-0.6875,0.0100,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0259,0.0000,0.0000,98582.0728
Ground, 28962555.00,0.0000,-0.6875,0.0000,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0253,0.0000,0.0000,98581.1743
Ground, 29007128.00,0.0000,-0.6875,-0.0300,9.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0298,0.0000,0.0000,98581.8883
Ground, 29049391.00,0.0000,-0.6875,0.0100,9.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0298,0.0000,0.0000,98581.3270
Ground, 29090739.00,0.0000,-0.6875,0.0100,9.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0280,0.0000,0.0000,98580.5527
Ground, 29131936.00,0.0000,-0.6875,0.0000,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0260,0.0000,0.0000,98580.7249
Ground, 29176351.00,0.0000,-0.6875,0.0300,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0314,0.0000,0.0000,98582.4146
Ground, 29219231.00,0.0000,-0.6875,0.0200,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0299,0.0000,0.0000,98582.9096
Ground, 29260476.00,0.0000,-0.6875,-0.0200,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0282,0.0000,0.0000,98582.0504
Ground, 29305910.00,0.0000,-0.6875,-0.0300,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0307,0.0000,0.0000,98582.4409
Ground, 29343734.00,0.0000,-0.6875,0.0200,9.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0247,0.0000,0.0000,98581.1525
