1.7069
3.9867
0.3534
state,currentTime,x,y,liftoff,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,prev_errorX,prev_errorY,flightTime,dt,rbfp,x_origin,y_origin, pressure
1
4988546.00,-12.1250,-5.1875,7.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6885,1,0.0000,-1.0000,79455.7474
1
5102003.00,-9.5625,-27.3125,13.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8020,1,0.0000,-1.0000,99310.5988
1
5214564.00,-18.6875,-53.3750,8.3900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9146,1,0.0000,-1.0000,99310.0403
1
5325778.00,-28.9375,-88.5625,-0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0258,1,0.0000,-1.0000,99310.0025
1
5436697.00,-23.1875,-122.1875,-14.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1367,1,0.0000,-1.0000,99310.2534
1
5547596.00,-24.3125,-138.9375,-11.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2476,1,0.0000,-1.0000,99309.1758
1
5658513.00,-38.8750,-149.3125,-17.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3585,1,0.0000,-1.0000,99308.1515
1
5769430.00,-71.0000,-154.9375,-14.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4694,1,0.0000,-1.0000,99307.1670
1
5880311.00,-67.6250,-8.5625,-7.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5803,1,0.0000,-1.0000,99307.0245
1
5991228.00,-21.7500,-9.1250,4.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6912,1,0.0000,-1.0000,99305.4335
1
6102143.00,15.7500,-9.7500,11.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8021,1,0.0000,-1.0000,99305.3027
1
6215193.00,35.5000,-14.8125,14.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9152,1,0.0000,-1.0000,99305.6958
1
6328480.00,39.2500,-31.8125,16.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0285,1,0.0000,-1.0000,99306.0830
1
6440328.00,24.9375,-48.3750,13.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1403,1,0.0000,-1.0000,99307.2968
1
6551250.00,1.5625,-70.1250,4.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2512,1,0.0000,-1.0000,99306.9634
1
6662170.00,-19.1875,-99.0625,-3.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3622,1,0.0000,-1.0000,99305.9259
1
6773079.00,-31.3125,-134.5625,-15.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4731,1,0.0000,-1.0000,99305.7422
1
6883995.00,-34.5625,-160.6875,-17.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5840,1,0.0000,-1.0000,99306.2562
1
6994911.00,-47.3750,179.9375,-14.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6949,1,0.0000,-1.0000,99306.8172
1
