0.2082
0.3200
0.0600
state,currentTime,x,y,liftoff,acc,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,prev_errorX,prev_errorY,flightTime,dt,x_origin,y_origin, pressure
Ground, 4064536.00,-2.1250,-4.4375,9.9400,9.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,3.7645,0.0000,0.0000,82451.7235
Ground, 28112281.00,2.1250,4.4375,0.0000,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0274,0.0000,0.0000,95065.7588
Ground, 28154189.00,2.1250,4.4375,-0.0600,9.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0294,0.0000,0.0000,95065.3994
Ground, 28195658.00,2.1250,4.4375,-0.0100,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,95064.9292
Ground, 28239649.00,2.1250,4.4375,0.0000,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0292,0.0000,0.0000,95065.2759
Ground, 28280944.00,2.1250,4.4375,-0.0200,9.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0274,0.0000,0.0000,95063.5064
Ground, 28324168.00,2.1250,4.4375,0.0000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0301,0.0000,0.0000,95063.5773
Ground, 28365400.00,2.1250,4.4375,0.0100,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0287,0.0000,0.0000,95063.4898
Ground, 28409875.00,2.1250,4.4375,-0.0100,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0302,0.0000,0.0000,95063.2579
Ground, 28453130.00,2.1250,4.4375,-0.0200,9.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0294,0.0000,0.0000,95062.1941
Ground, 28495145.00,2.1250,4.4375,0.0100,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0295,0.0000,0.0000,95061.3904
Ground, 28536892.00,2.1250,4.4375,0.0000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0280,0.0000,0.0000,95061.5549
Ground, 28578205.00,2.1250,4.4375,0.0200,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0261,0.0000,0.0000,95060.9600
Ground, 28622868.00,2.1250,4.4375,0.0300,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0317,0.0000,0.0000,95060.1399
Ground, 28664952.00,2.1250,4.4375,0.0100,9.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0296,0.0000,0.0000,95060.5857
Ground, 28706289.00,2.1250,4.4375,0.0000,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0282,0.0000,0.0000,95061.2383
Ground, 28746303.00,2.1250,4.4375,-0.0200,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0250,0.0000,0.0000,95061.2226
Ground, 28784711.00,2.1250,4.4375,0.0400,9.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0236,0.0000,0.0000,95061.2490
Ground, 28822708.00,2.1250,4.4375,0.0100,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0254,0.0000,0.0000,95061.2128
Ground, 28865087.00,2.1250,4.4375,0.0100,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0297,0.0000,0.0000,95061.8225
Ground, 28906398.00,2.1250,4.4375,-0.0100,9.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0283,0.0000,0.0000,95062.2563
Ground, 28946488.00,2.1250,4.4375,-0.0100,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0252,0.0000,0.0000,95062.4082
Ground, 28985207.00,2.1250,4.4375,-0.0100,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0237,0.0000,0.0000,95062.3525
Ground, 29023093.00,2.1250,4.4375,0.0500,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0247,0.0000,0.0000,95061.7208
Ground, 29065023.00,2.1250,4.4375,-0.0100,9.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,95062.0391
Ground, 29106354.00,2.1250,4.4375,-0.0100,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0287,0.0000,0.0000,95062.5401
Ground, 29145933.00,2.1250,4.4375,0.0000,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0251,0.0000,0.0000,95062.7355
Ground, 29187911.00,2.1250,4.4375,0.0400,9.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0281,0.0000,0.0000,95062.2814
Ground, 29229075.00,2.1250,4.4375,0.0000,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0260,0.0000,0.0000,95062.2677
Ground, 29273254.00,2.1250,4.4375,0.0000,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0317,0.0000,0.0000,95061.9556
Ground, 29315680.00,2.1250,4.4375,0.0200,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0298,0.0000,0.0000,95062.0543
Ground, 29357005.00,2.1250,4.4375,-0.0200,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0281,0.0000,0.0000,95060.8716
Ground, 29396923.00,2.1250,4.4375,0.0000,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0250,0.0000,0.0000,95060.8534
Ground, 29435483.00,2.1250,4.4375,-0.0100,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0237,0.0000,0.0000,95061.2837
Ground, 29473546.00,2.1250,4.4375,0.0100,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0253,0.0000,0.0000,95061.1002
Ground, 29515885.00,2.1250,4.4375,0.0200,9.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0298,0.0000,0.0000,95061.5713
Ground, 29557221.00,2.1250,4.4375,0.0200,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0282,0.0000,0.0000,95060.8666
Ground, 29597295.00,2.1250,4.4375,0.0000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0251,0.0000,0.0000,95059.9160
Ground, 29636298.00,2.1250,4.4375,0.0000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0241,0.0000,0.0000,95059.8026
Ground, 29678928.00,2.1250,4.4375,0.0200,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0290,0.0000,0.0000,95060.8089
Ground, 29722656.00,2.1250,4.4375,-0.0100,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0310,0.0000,0.0000,95059.7005
Ground, 29765981.00,2.1250,4.4375,0.0300,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,95060.3985
Ground, 29807261.00,2.1250,4.4375,-0.0200,9.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0284,0.0000,0.0000,95060.0305
Ground, 29852352.00,2.1250,4.4375,0.0200,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,95060.1398
Ground, 29890205.00,2.1250,4.4375,0.0000,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0245,0.0000,0.0000,95061.4090
Ground, 29930129.00,2.1250,4.4375,0.0000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0253,0.0000,0.0000,95061.7716
Ground, 29974186.00,2.1250,4.4375,0.0000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0313,0.0000,0.0000,95061.1495
Ground, 30016330.00,2.1250,4.4375,0.0200,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0297,0.0000,0.0000,95061.4416
Ground, 30057631.00,2.1250,4.4375,-0.0100,9.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0283,0.0000,0.0000,95060.3456
Ground, 30102809.00,2.1250,4.4375,0.0200,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0304,0.0000,0.0000,95060.4101
Ground, 30140633.00,2.1250,4.4375,0.0000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0246,0.0000,0.0000,95060.9886
Ground, 30180363.00,2.1250,4.4375,0.0000,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0253,0.0000,0.0000,95061.1877
Ground, 30219135.00,2.1250,4.4375,0.0100,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0251,0.0000,0.0000,95061.9670
Ground, 30259903.00,2.1250,4.4375,-0.0300,9.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8632,111.4753,0.0000,0.0000,0.0000,0.0256,0.0000,0.0000,95061.7551
